Year,"Total Population, as of 1 July (thousands)"
1950,2493092.848
1951,2536927.035
1952,2584086.339
1953,2634106.235
1954,2685894.86
1955,2740213.792
1956,2795409.994
1957,2852618.337
1958,2911249.671
1959,2965950.351
1960,3015470.894
1961,3064869.675
1962,3123374.315
1963,3192807.828
1964,3264487.339
1965,3334533.703
1966,3404041.125
1967,3473412.88
1968,3545187.251
1969,3619491.579
1970,3694683.794
1971,3769847.865
1972,3844917.68
1973,3920805.042
1974,3996416.096
1975,4070735.277
1976,4144246.377
1977,4217863.796
1978,4292097.502
1979,4368539.528
1980,4447606.236
1981,4528777.306
1982,4612673.421
1983,4697327.573
1984,4782175.519
1985,4868943.465
1986,4958072.838
1987,5049746.397
1988,5141992.542
1989,5234431.732
1990,5327803.11
1991,5418735.891
1992,5505989.816
1993,5591544.797
1994,5675551.255
1995,5758878.982
1996,5842055.734
1997,5924787.816
1998,6007066.69
1999,6089006.339
2000,6171702.993
2001,6254936.459
2002,6337730.342
2003,6420361.634
2004,6503377.772
2005,6586970.132
2006,6671452.015
2007,6757308.781
2008,6844457.662
2009,6932766.416
2010,7021732.148
2011,7110923.765
2012,7201202.485
2013,7291793.585
2014,7381616.244
2015,7470491.872
2016,7558554.526
2017,7645617.954
2018,7729902.781
2019,7811293.698
2020,7887001.292
2021,7954448.391
2022,8021407.192
2023,8091734.93
2024,8161972.572
2025,8231613.07
2026,8300678.395
2027,8369094.344
2028,8436618.886
2029,8503285.323
2030,8569124.911
2031,8634119.333
2032,8698229.812
2033,8761449.081
2034,8823784.909
2035,8885210.181
2036,8945686.614
2037,9005152.624
2038,9063572.926
2039,9120928.38
2040,9177190.203
2041,9232281.575
2042,9286110.371
2043,9338661.314
2044,9389873.693
2045,9439639.668
2046,9487889.604
2047,9534545.977
2048,9579536.043
2049,9622824.029
2050,9664378.587
2051,9704192.304
2052,9742264.515
2053,9778614.614
2054,9813251.659
2055,9846237.57
2056,9877680.392
2057,9907637.193
2058,9936164.379
2059,9963337.082
2060,9989232.292
2061,10013916.213
2062,10037466.6
2063,10059950.035
2064,10081402.737
2065,10101849.561
2066,10121317.107
2067,10139808.361
2068,10157301.941
2069,10173782.135
2070,10189241.959
2071,10203681.568
2072,10217055.169
2073,10229327.824
2074,10240485.056
2075,10250496.432
2076,10259351.432
2077,10267045.023
2078,10273556.322
2079,10278887.473
2080,10283078.029
2081,10286161.735
2082,10288205.05
2083,10289247.323
2084,10289315.244
2085,10288456.599
2086,10286708.36
2087,10284111.374
2088,10280704.572
2089,10276518.28
2090,10271565.07
2091,10265861.714
2092,10259408.375
2093,10252184.759
2094,10244185.837
2095,10235403.601
2096,10225850.874
2097,10215549.31
2098,10204489.862
2099,10192689.066
2100,10180160.751
